Etiquetage,Modèle,Numéro de Série,Service,Utilisateur,Date de Garantie,OS,Version,Commune
ALIG-MED1,DELL OptiPlex 7450 AIO,DTV5JN2,Mairie,mediatheque,20/02/2022,W10,21H1,Alignan
ALIG-PC001,DELL OptiPlex 3020,8GTNW02,Mairie,Celine PASTOR,18/04/2018,W10,21H1,Alignan
ALIG-PC003,HP HP 280 G1 MT,CZC50641GZ,Mairie,accueil,11/03/2016,W10,21H1,Alignan
ALIG-PC006,OEM,OEM,Mairie,Magaly Larose,X,W10,21H1,Alignan
ALIG-PC007,DELL Precision 3630 Tower,JM75BS2,Mairie,Jessy LOUKBAICHI,17/10/2022,W10,21H1,Alignan
ALIG-PC008,DELL OptiPlex 5490 AIO,1B43FM3,Mairie,Carole SABATIER,11/01/2027,W10,20H2,Alignan
ALIG-PC009,DELL OptiPlex 5400 AIO,2BD9MW3,Mairie,accueil,22/03/2028,W11,22H2,Alignan
ALI-MED-PUB01,DELL OptiPlex 7450 AIO,DTV2JN2,Mairie,admin,20/02/2022,W10,22H2,Alignan
ALI-MED-PUB02,DELL OptiPlex 7450 AIO,DTT3JN2,Mairie,admin,20/02/2022,W10,22H2,Alignan
Classe3,Latitude 5580,JSM1GH2,Ecole,classe3,30/08/2021,W10,21H1,Alignan
Classe4,Lenovo Thinkpad,M59P2,Ecole,classe4,,W10,20H2,Alignan
BASSAN-PC0014,DELL OptiPlex Micro Plus 7020,6VP1674,Mairie,reginecordonnier,11/12/2029,W10,20H2,Bassan
BASSAN-PC0004,DELL OptiPlex 7460 AIO,308SXW2,Mairie,bahijagleize,25/04/2023,W10,22H2,Bassan
BASSAN-PC0007,DELL OptiPlex 7470 AIO,J1SFD53,Mairie,alainbiola,01/07/2025,W11,22H2,Bassan
BASSAN-PC0006,DELL OptiPlex 7470 AIO,G1SFD53,Mairie,eleanoroldham,01/07/2025,W10,20H2,Bassan
BASSAN-PC0013,DELL OptiPlex Micro Plus 7020,9VP1674,Mairie,corinnewisniewski,11/12/2029,W10,20H2,Bassan
BASSAN-PC0012,DELL OptiPlex Micro Plus 7020,2VP1674,Mairie,catherinemallie,11/12/2029,W10,20H2,Bassan
BASSAN-PC0010,Lenovo 21E7S3LN00,PF4F2DRJ,Mairie,julienbardiere,31/08/2028,W11,22H2,Bassan
BASSAN-PC0005,DELL OptiPlex 7470 AIO,H1SFD53,Mairie,sebastienblanco,01/07/2025,W10,20H2,Bassan
BASSAN-PC0011,LENOVO 12SCA01QFR,MP2AQ3QP,Mairie,carolehugues,28/05/2029,W11,23H2,Bassan
BOUJAN-EC-01,DELL OptiPlex 5400 AIO,G7J9MW3,Ecole,directeur,22/03/2028,W11,22H2,Boujan
BOUJAN-PC0001,DELL OptiPlex 7450 AIO,7QX1YK2,Mairie,p.servel,27/07/2021,W10,22H2,Boujan
BOUJAN-PC0002,DELL OptiPlex 7450 AIO,7PVTXK2,Mairie,i.momboisse,27/07/2021,W10,22H2,Boujan
BOUJAN-PC0003,DELL OptiPlex 3050 AIO,BGRPYW2,Mairie,sylvie.albert,05/05/2023,W10,22H2,Boujan
BOUJAN-PC0004,DELL OptiPlex 7470 AIO,73BND43,Mairie,a.dominguez,29/05/2025,W10,22H2,Boujan
BOUJAN-PC0004,DELL OptiPlex 3050 AIO,9GRPYW2,Mairie,Utilisateur,05/05/2023,W10,22H2,Boujan
BOUJAN-PC0005,DELL OptiPlex 7480 AIO,FCP8263,Mairie,jeanfrancois.jacquet,25/08/2025,W10,21H2,Boujan
BOUJAN-PC0005,DELL OptiPlex 3050 AIO,CGRPYW2,Mairie,Espac,05/05/2023,W10,22H2,Boujan
BOUJAN-PC0006,DELL OptiPlex 7480 AIO,DCP8263,Mairie,c.deparis,25/08/2025,W10,22H2,Boujan
BOUJAN-PC0007,DELL OptiPlex 5490 AIO,B943FM3,Mairie,x,11/01/2027,W10,22H2,Boujan
BOUJAN-PC0008,DELL OptiPlex 5490 AIO,FB43FM3,Mairie,Rene.Argelies,11/01/2027,W10,22H2,Boujan
BOUJAN-PC0009,DELL OptiPlex 5490 AIO,G943FM3,Mairie,monique.crebassa,11/01/2027,W10,22H2,Boujan
BOUJAN-PC0010,DELL OptiPlex 5490 AIO,6843FM3,Mairie,Isabelleb,11/01/2027,W10,22H2,Boujan
BOUJAN-PC0011,DELL OptiPlex 5400 AIO,96D9MW3,Mairie,sylvie.albert,22/03/2028,W11,22h2,Boujan
BOUJAN-PO0001,DELL OptiPlex 5490 AIO,,Mairie,perrine.servel,,W10,22H2,Boujan
BOUJAN-PO0002,DELL Latitude 3500,7MRBGW2,Mairie,p.jeanfrancois,16/11/2024,W10,22H2,Boujan
BOUJAN-PO0003,DELL OptiPlex 5490 AIO,,Mairie,maire,,W10,22H2,Boujan
PC-POLICE1,HP ProDesk 405 G1,CZC4213P8L,Mairie,c.deparis,03/07/2017,W7,SP1,Boujan
DESKTOP-L0MJ65P,OEM,X,Mairie,User,X,W11,22H2,Boujan
DESKTOP-HOJ0PP1,OEM,X,Mairie,User,X,W11,22H2,Boujan
DESKTOP-KVEOKNN,OEM,X,Mairie,User,X,W11,22H2,Boujan
BOUJAN-EC-02,Gateway DT55,X,Ecole,classe1,x,W7,SP1,Boujan
BOUJAN-EC-03,Gateway DT55,X,Ecole,classe1,x,W7,SP1,Boujan
BOUJAN-EC-04,Fujitsu F762,X,Ecole,classe1,x,W10,20H1,Boujan
BOUJAN-EC-05,Gateway DT55,X,Ecole,classe2,x,W7,SP1,Boujan
BOUJAN-EC-06,Gateway DT55,X,Ecole,classe2,x,W7,SP1,Boujan
BOUJAN-EC-07,Fujitsu F762,X,Ecole,classe2,x,W10,20H1,Boujan
BOUJAN-EC-08,Gateway DT55,X,Ecole,classe2,x,W7,SP1,Boujan
BOUJAN-EC-09,Gateway DT55,X,Ecole,classe3,x,W7,SP1,Boujan
BOUJAN-EC-10,Fujitsu F762,X,Ecole,classe3,x,W10,20H1,Boujan
BOUJAN-EC-11,Gateway DT55,X,Ecole,classe3,x,W7,SP1,Boujan
BOUJAN-EC-12,Gateway DT55,X,Ecole,classe4,x,W7,SP1,Boujan
BOUJAN-EC-13,Fujitsu F762,X,Ecole,classe4,x,W10,20H1,Boujan
BOUJAN-EC-14,Gateway DT55,X,Ecole,classe4,x,W7,SP1,Boujan
BOUJAN-EC-15,Gateway DT55,X,Ecole,classe5,x,W7,SP1,Boujan
BOUJAN-EC-16,Fujitsu F762,X,Ecole,classe5,x,W10,20H1,Boujan
BOUJAN-EC-17,Gateway DT55,X,Ecole,classe5,x,W7,SP1,Boujan
BOUJAN-EC-18,Gateway DT55,X,Ecole,classe6,x,W7,SP1,Boujan
BOUJAN-EC-19,Fujitsu F762,X,Ecole,classe6,x,W10,20H1,Boujan
BOUJAN-EC-20,Gateway DT55,X,Ecole,classe6,x,W7,SP1,Boujan
BOUJAN-EC-21,Gateway DT55,X,Ecole,classe7,x,W7,SP1,Boujan
BOUJAN-EC-22,Fujitsu F762,X,Ecole,classe7,x,W10,20H1,Boujan
BOUJAN-EC-23,Gateway DT55,X,Ecole,classe7,x,W7,SP1,Boujan
BOUJAN-EC-24,Gateway DT55,X,Ecole,profs,x,W7,SP1,Boujan
CERS-PC0005,DELL OptiPlex 3050 AIO,HTLYKV2,Mairie,elisabethrousset,22/02/2023,W10,22H2,Cers
CERS-PC0010,DELL OptiPlex 5490 AIO,HMRVVM3,Mairie,isabellefrappa,02/02/2027,W11,22H2,Cers
CERS-PC0001,DELL OptiPlex 7450 AIO,2390HL2,Mairie,Myriam,23/08/2021,W10,22H2,Cers
CERS-PC0002,DELL OptiPlex 7460 AIO,JJZL2T2,Mairie,Kylian ROLIN,30/11/2022,W10,22H2,Cers
CERS-PC0003,DELL OptiPlex 7460 AIO,6NZL2T2,Mairie,Carine,30/11/2022,W10,22H2,Cers
CERS-PC0004,DELL OptiPlex 7460 AIO,1VLYKV2,Mairie,Said,22/02/2023,W10,22H2,Cers
CERS-PC0008,DELL OptiPlex 7470 AIO,FS2NZ23,Mairie,dgs,07/02/2025,W11,22H2,Cers
CERS-PC0009,DELL OptiPlex 7470 AIO,6T2NZ23,Mairie,amandinebrochet,07/02/2025,W10,22H2,Cers
?,FUJITSU ( Tour),?,Mairie,adj. au Maire,,W7,,Cers
?,TOSHIBA (Portable),?,Mairie,Posté Elu,,W7,,Cers
COR-PC0001,DELL OptiPlex 7470 AIO,CFKGY23,Mairie,Valerie,04/02/2025,W10,22H2,Corneilhan
COR-PC0002,DELL OptiPlex 7470 AIO,FFKGY23,Mairie,ACCUEIL,04/02/2025,W11,22H2,Corneilhan
COR-PC0003,DELL OptiPlex 7470 AIO,DFKGY23,Mairie,DGS,04/02/2025,W11,22H2,Corneilhan
COR-PC003,DELL OptiPlex 3050 AIO,7QMXXK2,Mairie,URBANISME,27/01/2021,W10,21H1,Corneilhan
COR-PC004,DELL OptiPlex 7470 AIO,B4BND43,Mairie,SANDRINE,29/05/2025,W10,20H2,Corneilhan
COR-PC005,DELL Latitude 3510,4LKCN93,Mairie,TECHNIQUE,13/02/2026,W10,20H2,Corneilhan
COR-PC008,Lenovo 12B0A060FR,MP2DSM8Y,Mairie,CHRISTOL,01/05/2028,W11,22H2,Corneilhan
